Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"gunmetal_shield_men's_sunglasses","Philipp Plein, Gunmetal Shield Men's Sunglasses","Philipp Plein Sunglasses. Series number: SPP029M. Color code: 0568. Shape: Shield. Lens Width: 99 mm. Lens Bridge: 0 mm. Arm Length: 120 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Gunmetal. Lenses Type: Gunmetal. Rim Style: Rimless. UPC/EAN code: 190605373170. Philipp Plein Gunmetal Shield Men's Sunglasses SPP029M 0568 99. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","SPP029M 0568 99","859","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99.jpg?width=546&height=546","661.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Philipp Plein","Active","TRUE","https://www.jomashop.com/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99.html"
"gunmetal_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99_2.jpg?width=546&height=546","","","","","","","","","","","",""
"gunmetal_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99_3.jpg?width=546&height=546","","","","","","","","","","","",""
"gunmetal_shield_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/h/philipp-plein-gunmetal-shield-mens-sunglasses-spp029m-0568-99_4.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","Chopard, Grey Square Men's Sunglasses","Chopard Sunglasses. Series number: SCH294. Color code: 722F. Shape: Square. Lens Width: 57 mm. Lens Bridge: 16 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Tortoise. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 190605297773. Chopard Grey Square Men's Sunglasses SCH294 722F 57. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","SCH294 722F 57","955","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-722f-57_1.jpg?width=546&height=546","734.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-722f-57_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Chopard","Active","TRUE","https://www.jomashop.com/chopard-grey-square-mens-sunglasses-sch294-722f-57.html"
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-722f-57_2.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-722f-57_3.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-722f-57_4.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","Chopard, Grey Square Men's Sunglasses","Chopard Sunglasses. Series number: SCH294. Color code: 0703. Shape: Square. Lens Width: 57 mm. Lens Bridge: 16 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Matte Black. Lenses Type: Grey. Rim Style: Full-Rim. UPC/EAN code: 190605297759. Chopard Grey Square Men's Sunglasses SCH294 0703 57. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","SCH294 0703 57","955","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-0703-57.jpg?width=546&height=546","734.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-0703-57.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Chopard","Active","TRUE","https://www.jomashop.com/chopard-grey-square-mens-sunglasses-sch294-0703-57.html"
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-0703-57_2.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-0703-57_3.jpg?width=546&height=546","","","","","","","","","","","",""
"grey_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chopard-grey-square-mens-sunglasses-sch294-0703-57_4.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","Versace, Brown Pilot Men's Sunglasses","Versace Sunglasses. Series number: VE2252. Color code: 147073. Shape: Pilot. Lens Width: 63 mm. Lens Bridge: 12 mm. Arm Length: 145 mm. 100% UV protection. Frame Material: Metal. Frame Color: Gold. Lenses Type: Brown. Rim Style: Full-Rim. UPC/EAN code: 8056597729987. Versace Brown Pilot Men's Sunglasses VE2252 147073 63. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","VE2252 147073 63","812","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.jpg?width=546&height=546","624.71","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Versace Sunglasses","Active","TRUE","https://www.jomashop.com/versace-brown-pilot-mens-sunglasses-ve2252-147073-63.html"
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_3.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_4.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_5.jpg?width=546&height=546","","","","","","","","","","","",""
"brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-brown-pilot-mens-sunglasses-ve2252-147073-63_10.jpg?width=546&height=546","","","","","","","","","","","",""
