Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"bold_chronograph_black_dial_men's_watch","Movado, Bold Chronograph Black Dial Men's Watch","Black stainless steel case with a brown leather strap. Fixed bezel. Black dial with yellow gold-tone hands and index hour markers. Dial Type: Analog. Date display at the 6 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 12 hour. Quartz movement. Scratch resistant k1 crystal crystal. Solid case back. Round case shape. Case size: 44 mm. Buckle clasp. Water resistant at 30 meters / 100 feet. Functions: chronograph, date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Movado Bold Chronograph Black Dial Men's Watch 3600540.","3600540","1285","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540.jpg?width=546&height=546","988.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold","Active","TRUE","https://www.jomashop.com/movado-bold-watch-3600540.html"
"bold_chronograph_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_chronograph_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540_3.jpg?width=546&height=546","","","","","","","","","","","",""
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","Baume Et Mercier, Baume and Mercier Clifton Automatic Silver Dial Two-tone Men's Watch 10140","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/baume-mercier-watch-m0a10140.html"
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","Harry Winston, Ocean Triple Retrograde Chronograph Automatic Men's Watch OCEACT44ZZ002","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/harry-winston-watch-oceact44zz002.html"
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002_2.jpg?width=546&height=546","","","","","","","","","","","",""
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002_3.jpg?width=546&height=546","","","","","","","","","","","",""
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch","Omega, De Ville Prestige Automatic Chronometer Brown Dial Two-Tone Men's Watch","Stainless steel case with a stainless steel bracelet with 18kt rose gold links. Fixed 18kt rose gold bezel. Brown dial with rose gold-tone dauphine-style hands and Roman numeral and dot hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Omega calibre 2500 automatic movement, based upon ETA 2892-A2, containing 27 Jewels, bitting at 25200 vph, and has a power reserve of approximately 48 hours. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape. Case size: 39.5 mm. Case thickness: 10 mm. Band width: 20 mm. Hidden fold over clasp. Water resistant at 30 meters / 100 feet. Functions: date, hour, minute, second, co-axial escapement, chronometer. De Ville Prestige Series. Luxury watch style. Watch label: Swiss Made. Omega De Ville Prestige Automatic Chronometer Brown Dial Two-Tone Men's Watch 424.20.40.20.13.001.","424.20.40.20.13.001","16171","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001.jpg?width=546&height=546","12439.88","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Omega, De Ville","Active","TRUE","https://www.jomashop.com/omega-watch-424-20-40-20-13-001.html"
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001_2.jpg?width=546&height=546","","","","","","","","","","","",""
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001_3.jpg?width=546&height=546","","","","","","","","","","","",""
