Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"de_ville_ladymatic_automatic_chronometer_diamond_ladies_watch","Omega, De Ville Ladymatic Automatic Chronometer Diamond Ladies Watch","Stainless steel case with a stainless steel bracelet and 18kt rose gold links. Fixed stainless steel bezel. Mother of pearl (swirl design) dial with rose gold hands and diamond hour markers. Dial Type: Analog. Date display at the 3 o'clock position. Omega calibre 8521 automatic movement with a 50-hour power reserve. Scratch resistant sapphire crystal. Screw down crown. Transparent case back. Round case shape. Case size: 34 mm. Case thickness: 12.3 mm. Band width: 20 mm. Band length: 6.5 inches. Fold over with push button release clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second, chronometer. Luxury watch style. Watch label: Swiss Made. Omega De Ville Ladymatic Automatic Chronometer Diamond Ladies Watch 42520342055001.","42520342055001","32845","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-ladymatic-automatic-mother-of-pearl-dial-stainless-steel-and-rose-gold-ladies-watch-42520342055001.jpg?width=546&height=546","25265.63","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-ladymatic-automatic-mother-of-pearl-dial-stainless-steel-and-rose-gold-ladies-watch-42520342055001.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Womens, Watches, Omega, De Ville","Active","TRUE","https://www.jomashop.com/omega-watch-42520342055001.html"
"de_ville_ladymatic_automatic_chronometer_diamond_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-ladymatic-automatic-mother-of-pearl-dial-stainless-steel-and-rose-gold-ladies-watch-42520342055001_2.jpg?width=546&height=546","","","","","","","","","","","",""
"de_ville_ladymatic_automatic_chronometer_diamond_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-ladymatic-automatic-mother-of-pearl-dial-stainless-steel-and-rose-gold-ladies-watch-42520342055001_3.jpg?width=546&height=546","","","","","","","","","","","",""
"museum_classic_quartz_green_dial_ladies_watch","Movado, Museum Classic Quartz Green Dial Ladies Watch","Silver-tone stainless steel case with a two-tone (silver-tone and yellow gold-tone) stainless steel bracelet. Fixed yellow gold-tone stainless steel bezel. Green dial with yellow gold-tone hands. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape, case size: 33 mm. Fold over clasp with a safety release. Functions: hour, minute. Museum Classic Series. Casual watch style. Watch label: Swiss Made. Movado Museum Classic Quartz Green Dial Ladies Watch 0607631.","0607631","2049","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-museum-classic-quartz-green-dial-ladies-watch-0607631.jpg?width=546&height=546","1576.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-museum-classic-quartz-green-dial-ladies-watch-0607631.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Womens, Watches, Movado, Museum","Active","TRUE","https://www.jomashop.com/movado-movado-museum-classic-green-dial-ladies-watch-0607631.html"
"museum_classic_quartz_green_dial_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-museum-classic-quartz-green-dial-ladies-watch-0607631_2.jpg?width=546&height=546","","","","","","","","","","","",""
"museum_classic_quartz_green_dial_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-museum-classic-quartz-green-dial-ladies-watch-0607631_3.jpg?width=546&height=546","","","","","","","","","","","",""
"limelight_hand_wind_diamond_white_dial_ladies_watch","Piaget, Limelight Hand Wind Diamond White Dial Ladies Watch","18kt rose gold case with a black satin strap. Fixed 18kt rose gold set with 86 diamonds bezel. White dial with rose gold-tone hands and index hour markers. Roman nuymerals appear at the 6 and 12 o'clock positions. Dial Type: Analog. Piaget Calibre 438P Hand Wind movement, containing 19 Jewels, composed of 136 parts, bitting at 21600 vph, and has a power reserve of approximately 43 hours. Scratch resistant sapphire crystal. Tonneau case shape, case size: 38 mm x 27 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Additional Info: case set with 86 brilliant-cut diamonds. buckle set with 13 brilliant-cut diamonds. sapphire crystal case back. Limelight Series. Luxury watch style. Watch label: Swiss Made. Item Variations: GOA39197, G0A39197, 39197. Piaget Limelight Hand Wind Diamond White Dial Ladies Watch GOA39197.","GOA39197","85942","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/i/piaget-limelight-hand-wind-diamond-white-dial-ladies-watch-goa39197_1.jpg?width=546&height=546","66109.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/i/piaget-limelight-hand-wind-diamond-white-dial-ladies-watch-goa39197_1.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Womens, Watches, Piaget, Limelight","Active","TRUE","https://www.jomashop.com/piaget-watch-goa39197.html"
"limelight_hand_wind_diamond_white_dial_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/i/piaget-limelight-hand-wind-diamond-white-dial-ladies-watch-goa39197_2.jpg?width=546&height=546","","","","","","","","","","","",""
"limelight_hand_wind_diamond_white_dial_ladies_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/i/piaget-limelight-hand-wind-diamond-white-dial-ladies-watch-goa39197_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_verso_quartz_black_dial_ladies_watch","Movado, Bold Verso Quartz Black Dial Ladies Watch","Black ceramic case and bracelet. Fixed gold-tone stainless steel bezel. Black dial with gold-tone hands and index hour markers. Minute markers around the outer rim. Movado dot appears at the 12 o'clock position. Dial Type: Analog. Date display at the 6 o'clock position. Quartz movement. Scratch resistant K1 crystal. Pull / push crown. Solid case back. Round case shape, case size: 39 mm. Deployment clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Bold Verso Series. Dress watch style. Watch label: Swiss Made. Movado Bold Verso Quartz Black Dial Ladies Watch 3600936.","3600936","1858","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-verso-quartz-black-dial-ladies-watch-3600936_1.jpg?width=546&height=546","1429.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-verso-quartz-black-dial-ladies-watch-3600936_1.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Womens, Watches, Movado, Bold Verso","Active","TRUE","https://www.jomashop.com/movado-bold-verso-quartz-black-dial-ladies-watch-3600936.html"
