Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"bold_quartz_gold_dial_yellow_gold_ion-plated_men's_watch","Movado, Bold Quartz Gold Dial Yellow Gold Ion-plated Men's Watch","Yellow gold ion-plated stainless steel case with a yellow gold ion-plated stainless steel mesh bracelet. Fixed yellow gold ion-plated bezel. Gold dial with yellow gold-tone hands. No markers. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant K1 crystal. Pull / push crown. Solid case back. Round case shape. Case size: 42 mm. Case thickness: 6.7 mm. Band width: 21 mm. Slide through clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Casual watch style. Watch label: Swiss Made. Movado Bold Quartz Gold Dial Yellow Gold Ion-plated Men's Watch 3600588.","3600588","1094","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-men_s-gold-tone-mesh-watch-3600588.jpg?width=546&height=546","841.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-men_s-gold-tone-mesh-watch-3600588.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold","Active","TRUE","https://www.jomashop.com/movado-bold-watch-3600588.html"
"bold_quartz_gold_dial_yellow_gold_ion-plated_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-men_s-gold-tone-mesh-watch-3600588_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_gold_dial_yellow_gold_ion-plated_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-men_s-gold-tone-mesh-watch-3600588_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_chronograph_black_dial_men's_watch_3600540","Movado, Bold Chronograph Black Dial Men's Watch 3600540","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-chronograph-black-dial-men_s-watch-3600540.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/movado-bold-watch-3600540.html"
"conquest_quartz_black_dial_men's_watch","Longines, Conquest Quartz Black Dial Men's Watch","Black stainless steel case and bracelet. Fixed black stainless steel bezel. Black dial with black hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Longines Calibre L287.2 quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape, case size: 43 mm. Fold over clasp with a safety release. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Additional Info: original box, international warranty card, manual (complete accessories). Conquest Series. Luxury watch style. Watch label: Swiss Made. Longines Conquest Quartz Black Dial Men's Watch L3.728.2.66.6.","L3.728.2.66.6","3482","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-conquest-quartz-black-dial-mens-watch-l37282666-l37282666.jpg?width=546&height=546","2679.07","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-conquest-quartz-black-dial-mens-watch-l37282666-l37282666.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Longines, Conquest","Active","TRUE","https://www.jomashop.com/longines-conquest-black-dial-unisex-watch-l3-728-2-66-6.html"
"conquest_quartz_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-conquest-quartz-black-dial-mens-watch-l37282666-l37282666_2.jpg?width=546&height=546","","","","","","","","","","","",""
"conquest_quartz_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-conquest-quartz-black-dial-mens-watch-l37282666-l37282666_3.jpg?width=546&height=546","","","","","","","","","","","",""
"conquest_quartz_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-conquest-quartz-black-dial-mens-watch-l37282666-l37282666_4.jpg?width=546&height=546","","","","","","","","","","","",""
"v-vertical_quartz_white_dial_men's_watch","Versace, V-Vertical Quartz White Dial Men's Watch","Silver-tone 18kt yellow gold case with a black silicone strap. Fixed silver-tone stainless steel bezel. White dial with black hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape, case size: 42 mm, case thickness: 10 mm. Band width: 20. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: hour, minute, second. Additional Info: greca-patterned border around the centerzone. V-vertical Series. Casual watch style. Watch label: Swiss Made. Versace V-Vertical Quartz White Dial Men's Watch VE3H00122.","VE3H00122","1524","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-vvertical-quartz-white-dial-mens-watch-ve3h00122_1.jpg?width=546&height=546","1172.33","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-vvertical-quartz-white-dial-mens-watch-ve3h00122_1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Versace, V-Vertical","Active","TRUE","https://www.jomashop.com/versace-v-vertical-quartz-white-dial-mens-watch-ve3h00122.html"
"v-vertical_quartz_white_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-vvertical-quartz-white-dial-mens-watch-ve3h00122_2.jpg?width=546&height=546","","","","","","","","","","","",""
"v-vertical_quartz_white_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-vvertical-quartz-white-dial-mens-watch-ve3h00122_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_blue_dial_men's_watch","Movado, Bold Quartz Blue Dial Men's Watch","Blue PVD stainless steel case with a blue PVD stainless steel mesh bracelet. Fixed blue PVD stainless steel bezel. Grey dial with Arabic numeral hour markers. Dial Type: Analog. Quartz movement. Scratch resistant mineral crystal. Pull / push crown. Solid case back. Round case shape, case size: 41 mm. Fold over clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute, second. Bold Series. Casual watch style. Watch label: Swiss Made. Movado Bold Quartz Blue Dial Men's Watch 3600959.","3600959","1332","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-grey-dial-mens-watch-3600959.jpg?width=546&height=546","1025.33","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-grey-dial-mens-watch-3600959.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold","Active","TRUE","https://www.jomashop.com/movado-bold-quartz-grey-dial-mens-watch-3600959.html"
"bold_quartz_blue_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-grey-dial-mens-watch-3600959_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_blue_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-grey-dial-mens-watch-3600959_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_tr90_quartz_blue_museum_dial_men's_watch","Movado, Bold TR90 Quartz Blue Museum Dial Men's Watch","Black TR90 composite case with a black leather strap. Fixed black TR90 composite bezel. Blue museum dial with black hands. No markers. Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape. Vase size: 42 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Bold Tr90 Series. Casual watch style. Watch label: Swiss Made. Movado Bold TR90 Quartz Blue Museum Dial Men's Watch 3600761.","3600761","950","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-blue-museum-dial-mens-watch-3600761.jpg?width=546&height=546","731.32","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-blue-museum-dial-mens-watch-3600761.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold Tr90","Active","TRUE","https://www.jomashop.com/movado-bold-tr90-quartz-blue-museum-dial-mens-watch-3600761.html"
"bold_tr90_quartz_blue_museum_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-blue-museum-dial-mens-watch-3600761_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_tr90_quartz_blue_museum_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-tr90-quartz-blue-museum-dial-mens-watch-3600761_3.jpg?width=546&height=546","","","","","","","","","","","",""
"capeland_chronograph_quartz_black_dial_men's_watch","Baume Et Mercier, Capeland Chronograph Quartz Black Dial Men's Watch","Silver-tone stainless steel case with a black/ orange leather strap. Fixed silver-tone bezel. Black dial with silver-tone hands and index hour markers. Dial Type: Analog. Date display at the 6 o'clock position. Chronograph - sub-dials displaying: 30 minutes, 60 seconds. ETA 2894-2 quartz movement with a 42-hour power reserve. Scratch resistant sapphire crystal. Transparent see through case back. Round case shape, case size: 42 mm. Band length: inches. Buckle clasp. Water resistant at 50 meters / 165 feet. Functions: chronograph, date, hour, minute, second. Capeland Series. Watch label: Swiss Made. Baume et Mercier Capeland Chronograph Quartz Black Dial Men's Watch M0A10451.","M0A10451","9550","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-et-mercier-capeland-chronograph-quartz-black-dial-mens-watch-m0a10451.jpg?width=546&height=546","7346.32","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-et-mercier-capeland-chronograph-quartz-black-dial-mens-watch-m0a10451.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Baume & Mercier, Capeland","Active","TRUE","https://www.jomashop.com/baume-et-mercier-capeland-chronograph-quartz-black-dial-mens-watch-m0a10451.html"
"capeland_chronograph_quartz_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-et-mercier-capeland-chronograph-quartz-black-dial-mens-watch-m0a10451_2.jpg?width=546&height=546","","","","","","","","","","","",""
"capeland_chronograph_quartz_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-et-mercier-capeland-chronograph-quartz-black-dial-mens-watch-m0a10451_3.jpg?width=546&height=546","","","","","","","","","","","",""
"villeret_ultra_slim_automatic_grey_dial_men's_watch","Blancpain, Villeret Ultra Slim Automatic Grey Dial Men's Watch","18kt white gold case with a brown (alligator) leather strap. Fixed 18kt white gold bezel. Grey dial with silver-tone skeleton hands and Roman numeral hour markers. Dial Type: Analog. Retrograde 30 seconds subdials. Blancpain caliber 7663q automatic movement with a 72-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape. Case size: 40 mm. Case thickness: 10.88 mm. Band width: 22 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Villeret Ultra Slim Series. Luxury watch style. Watch label: Swiss Made. Blancpain Villeret Ultra Slim Automatic Grey Dial Men's Watch 6653-1504-55B.","6653-1504-55B","52528","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/l/blancpain-villeret-ultra-slim-automatic-grey-dial-ladies-watch-6653150455b.jpg?width=546&height=546","40406.63","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/l/blancpain-villeret-ultra-slim-automatic-grey-dial-ladies-watch-6653150455b.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Blancpain, Villeret Ultra Slim","Active","TRUE","https://www.jomashop.com/blancpain-watch-6653-1504-55b.html"
"villeret_ultra_slim_automatic_grey_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/l/blancpain-villeret-ultra-slim-automatic-grey-dial-ladies-watch-6653150455b_2.jpg?width=546&height=546","","","","","","","","","","","",""
"villeret_ultra_slim_automatic_grey_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/l/blancpain-villeret-ultra-slim-automatic-grey-dial-ladies-watch-6653150455b_3.jpg?width=546&height=546","","","","","","","","","","","",""
"quartz_watch","Movado, Quartz Watch","Dual finished stainless steel caset with yellow gold PVD-finshed concave polished dot accents stainless steel case with a dual finished stainless bracelet with gold-tone PVD-finshed concave polished dot accents stainless steel bracelet. Black sunray dial with index hour markers. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Round case shape, case size: 41mm. Water resistant at 50 meters / 165 feet. Watch label: Swiss Made.","0607596","2694","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-quartz-watch-0607596.jpg?width=546&height=546","2072.70","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-quartz-watch-0607596.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado","Active","TRUE","https://www.jomashop.com/movado-quartz-watch-0607596.html"
"quartz_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-quartz-watch-0607596_2.jpg?width=546&height=546","","","","","","","","","","","",""
"quartz_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-quartz-watch-0607596_3.jpg?width=546&height=546","","","","","","","","","","","",""
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","Baume Et Mercier, Baume and Mercier Clifton Automatic Silver Dial Two-tone Men's Watch 10140","Stainless steel case with a two-tone (silver and rose gold-plated) stainless steel bracelet. Fixed rose gold-plated bezel. Silver dial with rose gold-tone hands and Arabic numeral and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Date display at the 3 o'clock position. Seconds sub-dial at the 6 o'clock position. Automatic movement with a 38 hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Case diameter: 41 mm. Case thickness: 11.54 mm. Round case shape. Band width: 19.7 mm. Band length: 9 inches. Deployment clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, small second. Luxury watch style. Watch label: Swiss Made. Item Variations: MOA10140, M0A10140, 10140. Baume and Mercier Clifton Automatic Silver Dial Two-tone Men's Watch 10140.","A10140","9316","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140.jpg?width=546&height=546","7166.25","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Baume & Mercier, Clifton","Active","TRUE","https://www.jomashop.com/baume-mercier-watch-m0a10140.html"
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140_2.jpg?width=546&height=546","","","","","","","","","","","",""
"baume_and_mercier_clifton_automatic_silver_dial_two-tone_men's_watch_10140","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/a/baume-and-mercier-clifton-automatic-silver-dial-twotone-mens-watch-10140-a10140_3.jpg?width=546&height=546","","","","","","","","","","","",""
