Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,Variant Compare At Price,product.metafields.custom.original_prodect_url
"purple_cosmetic_bag_/_603531000954","Vicky Tiel, Purple Cosmetic Bag /","Design house: Vicky Tiel. Series: Purple Cosmetic Bag. Gender: Ladies. Category: Tools &amp; Brushes. Type: Misc. SubType: Tools. Barcode: 603531000954. Purple Cosmetic Bag / Vicky Tiel 603531000954. <br><br> This item is only valid for shipment in the Contiguous United States.","603531000954","38","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/p/u/purple-cosmetic-bag-vicky-tiel-603531000954.jpg?width=546&height=546","29.36","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/p/u/purple-cosmetic-bag-vicky-tiel-603531000954.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, Vicky Tiel, Purple Cosmetic Bag","Active","TRUE","44","https://www.jomashop.com/purple-cosmetic-bag-vicky-tiel-603531000954.html"
"/_naname_fude_multi_eye_brush_729238146976","Shiseido, / Naname Fude Multi Eye Brush","Design house: Shiseido. Series: Essential Energy. Gender: Ladies. Category: Cosmetics. Type: Makeup. SubType: Tools. Beauty group: Eyes. Size: 1.0 oz. Barcode: 729238146976.  Diagonally-cut, synthetic bristles suit any eye shape and can be used to define, blend, and diffuse cream, powder, and gel formulas. These high-performing fibers provide a cushioning effect, while a revolutionary hidden core maintains the tool’s shape and creates the perfect balance of strength and flexibility. Handcrafted in Japan, this ultra-soft brush brilliantly deposits colour and quickly diffuses any hard edges. Shiseido / Naname Fude Multi Eye Brush.","729238146976","95","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/s/h/shiseido-naname-fude-multi-eye-brush-729238146976.jpg?width=546&height=546","73.46","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/s/h/shiseido-naname-fude-multi-eye-brush-729238146976.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, Eye Products, Essential Energy","Active","TRUE","113","https://www.jomashop.com/shiseido-naname-fude-multi-eye-brush-729238146976.html"
"/_naname_fude_multi_eye_brush_729238146976","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/s/h/shiseido-naname-fude-multi-eye-brush-729238146976_2.jpg?width=546&height=546","","","","","","","","","","","","",""
"cosmetics_/_foundation_pump_773602124275","MAC, Cosmetics / Foundation Pump","Design house: Mac Cosmetics. Series: Foundation Pump. Gender: Ladies. Category: Cosmetics. Type: Makeup. SubType: Tools. Size: .001. Barcode: 773602124275. Mac Cosmetics / Foundation Pump.","773602124275","76","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/m/a/mac-cosmetics-foundation-pump-773602124275.jpg?width=546&height=546","58.76","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/m/a/mac-cosmetics-foundation-pump-773602124275.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, MAC","Active","TRUE","93","https://www.jomashop.com/mac-cosmetics-foundation-pump-773602124275.html"
"/_detail_shader_eye_brush_098132427833","Bareminerals, / Detail Shader Eye Brush","Design house: Bareminerals. Gender: Ladies. Category: Cosmetics. Type: Makeup. SubType: Tools Brush. Size: 0.01 oz. SKU: BAREBR37. Barcode: 098132427833. Bareminerals / Detail Shader Eye Brush.","098132427833","62","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/b/a/bareminerals-detail-shader-eye-brush-barebr37.jpg?width=546&height=546","47.74","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/b/a/bareminerals-detail-shader-eye-brush-barebr37.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, Eye Products","Active","TRUE","79","https://www.jomashop.com/bareminerals-makeup-barebr37.html"
"/_eye_lash_curler_607845018308","Nars, / Eye Lash Curler","Design house: Nars. Gender: Ladies. Category: Cosmetics. Type: Makeup. SubType: Tools. Beauty group: Eyes. Size: 0.01 oz. Barcode: 607845018308. Nars / Eye Lash Curler.","607845018308","71","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-eye-lash-curler-607845018308.jpg?width=546&height=546","55.09","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-eye-lash-curler-607845018308.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, Eye Products","Active","TRUE","89","https://www.jomashop.com/nars-eye-lash-curler-607845018308.html"
"/_eye_lash_curler_607845018308","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-eye-lash-curler-607845018308_2.jpg?width=546&height=546","","","","","","","","","","","","",""
"/_eye_lash_curler_607845018308","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-eye-lash-curler-607845018308_3.jpg?width=546&height=546","","","","","","","","","","","","",""
"/_no.13_precision_blending_brush_607845018537","Nars, / No.13 Precision Blending Brush","For precision application of concealer Ideal for focused use on spots, pigmented areas, or around the eyes and nose. Design house: Nars. Gender: Ladies. Category: Cosmetics. Type: Makeup. SubType: Tools Brush. Size: 0.01 oz. SKU: NARSBR24. Barcode: 607845018537. Nars / No.13 Precision Blending Brush.","607845018537","76","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-no13-precision-blending-brush-607845018537.jpg?width=546&height=546","58.76","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-no13-precision-blending-brush-607845018537.jpg?width=546&height=546","manual","deny","shopify","female","USA Products","Joma Shop","Makeup, women, Lips, Sponges , Brushes, Lash Tools, Blotting Papers, Makeup Tools, Makeup, Face Products","Active","TRUE","90","https://www.jomashop.com/nars-makeup-narsbr24-0-01oz.html"
"/_no.13_precision_blending_brush_607845018537","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/0ee3019724ce73007b606b54ba535a23/n/a/nars-no13-precision-blending-brush-607845018537_2.jpg?width=546&height=546","","","","","","","","","","","","",""
